alpha		beta		gamma		g		a0		E1		E2		E3		E4		E1_ND	E2_ND	E3_ND	E4_ND	P0	E0
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-2.015666e+07	-5.437869e+07	5.437869e+07	2.015666e+07	-0.2750	-0.7418	0.7418	0.2750	0.4175	0.7331
7.441439e+08	-1.414088e+11	4.099535e+12	7.428819e+08	1.705085e+09	-3.464798e+07	-6.262500e+07	6.262500e+07	3.464798e+07	-0.5015	-0.9064	0.9064	0.5015	0.3714	0.6909
8.000028e+08	-1.448523e+11	3.799337e+12	7.831970e+08	8.212105e+08	-2.771975e+07	-6.763393e+07	6.763393e+07	2.771975e+07	-0.3555	-0.8673	0.8673	0.3555	0.3899	0.7798
6.059600e+08	-8.416591e+10	1.904386e+12	6.434341e+08	2.084238e+09	-4.637769e+07	-6.310271e+07	6.310271e+07	4.637769e+07	-0.7245	-0.9858	0.9858	0.7245	0.4225	0.6401
6.878205e+08	-9.095892e+10	2.222939e+12	7.860786e+08	3.637507e+09	-7.428247e+07	-7.946738e+07	7.946738e+07	7.428247e+07	-1.0543	-1.1279	1.1279	1.0543	0.4097	0.7046
5.424244e+08	-7.315433e+10	1.930964e+12	4.353967e+08	3.377588e+09	-3.808961e+07	-4.712949e+07	4.712949e+07	3.808961e+07	-0.7365	-0.9113	0.9113	0.7365	0.3814	0.5172
7.506281e+08	-1.407779e+11	3.413419e+12	7.468221e+08	4.809136e+09	-6.614750e+06	-6.263208e+07	6.263208e+07	6.614750e+06	-0.0868	-0.8220	0.8220	0.0868	0.4060	0.7619
7.480651e+08	-9.631716e+10	2.315125e+12	6.729132e+08	5.744521e+08	-5.868025e+07	-7.199716e+07	7.199716e+07	5.868025e+07	-0.7766	-0.9529	0.9529	0.7766	0.4040	0.7556
7.283244e+08	-1.173951e+11	3.259404e+12	8.832167e+08	3.050391e+09	-7.152632e+07	-7.950068e+07	7.950068e+07	7.152632e+07	-1.0171	-1.1305	1.1305	1.0171	0.3862	0.7032
6.149027e+08	-6.247653e+10	1.292102e+12	5.668165e+08	3.961664e+09	-6.349619e+07	-6.870548e+07	6.870548e+07	6.349619e+07	-0.9469	-1.0246	1.0246	0.9469	0.4362	0.6706
6.777024e+08	-1.085470e+11	3.101083e+12	7.021420e+08	3.578717e+09	-5.504564e+07	-6.508267e+07	6.508267e+07	5.504564e+07	-0.8655	-1.0233	1.0233	0.8655	0.3754	0.6360
6.707421e+08	-1.354783e+11	3.200861e+12	7.756582e+08	1.776295e+09	-1.896117e+06	-6.052008e+07	6.052008e+07	1.896117e+06	-0.0272	-0.8694	0.8694	0.0272	0.4151	0.6961
5.319216e+08	-6.118242e+10	1.325916e+12	6.126988e+08	3.262879e+09	-6.345102e+07	-6.657291e+07	6.657291e+07	6.345102e+07	-1.0955	-1.1494	1.1494	1.0955	0.4356	0.5792
