alpha		beta		gamma		g		a0		E1		E2		E1_ND	E2_ND	P0	E0
-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	1.208787e+08	-1.208879e+08	2.0650	-2.0651	0.2505	0.5854
-6.681262e+08	-2.260026e+10	9.515525e+11	-4.685412e+08	3.322431e+08	1.752143e+08	-1.752026e+08	2.9981	-2.9979	0.3499	0.5844
-6.544322e+08	-2.969425e+10	9.242940e+11	-1.825685e+08	2.634017e+08	1.586936e+08	-1.587099e+08	2.3177	-2.3179	0.4185	0.6847
-5.666945e+08	-1.797353e+10	1.101838e+12	-4.417011e+08	8.552330e+08	1.312508e+08	-1.312634e+08	3.1539	-3.1542	0.2937	0.4162
-7.281934e+08	-2.116155e+10	1.111210e+12	-4.170291e+08	4.072895e+08	1.593504e+08	-1.593337e+08	2.5800	-2.5798	0.3393	0.6176
-8.782882e+08	-2.236431e+10	5.230603e+12	-3.999720e+08	9.020906e+08	1.005123e+08	-1.005463e+08	2.0949	-2.0956	0.2185	0.4798
-1.010559e+09	-1.193339e+10	8.004757e+12	-4.982166e+08	4.272584e+08	1.006404e+08	-1.006262e+08	2.1256	-2.1253	0.1874	0.4735
-7.144624e+08	-2.219135e+10	2.480652e+12	-3.355329e+08	3.672060e+08	1.050809e+08	-1.050996e+08	2.2162	-2.2166	0.2655	0.4741
-3.609692e+08	-1.727412e+10	6.838592e+11	-3.086236e+08	7.586574e+08	1.069795e+08	-1.069757e+08	3.5426	-3.5425	0.3346	0.3020
-5.638401e+08	-2.886687e+10	1.379162e+12	-2.014430e+08	7.685349e+08	1.125209e+08	-1.125192e+08	2.3136	-2.3136	0.3450	0.4863
-3.611981e+08	-2.898238e+10	6.986528e+11	-9.530987e+07	2.678939e+08	1.208291e+08	-1.208239e+08	3.0158	-3.0157	0.4437	0.4007
-9.115481e+08	-1.298512e+09	3.752403e+12	-4.403865e+08	5.480185e+08	1.006482e+08	-1.006717e+08	2.0701	-2.0706	0.2134	0.4862
-3.525903e+08	-5.335370e+09	7.022567e+10	-3.640128e+08	3.640139e+08	1.977335e+08	-1.977405e+08	4.1295	-4.1297	0.5432	0.4788
-3.610215e+08	-2.804884e+10	3.907710e+11	-7.365876e+07	2.938341e+08	1.929564e+08	-1.929453e+08	3.7589	-3.7587	0.5688	0.5133
-8.603114e+08	-9.479870e+08	1.774773e+12	-3.950996e+08	1.041004e+08	1.107596e+08	-1.107742e+08	2.0070	-2.0073	0.2566	0.5519
-8.753515e+08	-4.973046e+09	1.459578e+12	-4.081768e+08	4.739621e+08	1.262795e+08	-1.263002e+08	2.0569	-2.0573	0.2805	0.6139
-7.888089e+08	-2.490242e+10	3.172536e+12	-4.206193e+08	3.597220e+08	1.153986e+08	-1.154199e+08	2.3585	-2.3589	0.2481	0.4893
-1.092175e+09	-1.974481e+10	1.032739e+13	-4.947866e+08	6.256745e+08	1.033418e+08	-1.033129e+08	2.0381	-2.0375	0.1857	0.5070
-3.795421e+08	-4.264798e+09	2.472285e+11	-3.022384e+08	5.917119e+08	1.017565e+08	-1.017610e+08	3.1874	-3.1876	0.3364	0.3192
