6.162096e+08	-8.889063e+10	2.096084e+12	5.300139e+08	3.910807e+09	-5.775179e+08	-1.454680e+10	5.183310e+11	-3.950201e+08	5.480015e+08	9.500000e+09	2.372000e+09	19.422134	40.321195	40.256671	AFE
6.578033e+08	-1.270299e+11	3.533847e+12	7.268086e+08	3.483130e+09	-7.658852e+08	-2.523474e+10	1.598651e+12	-4.244337e+08	3.157860e+08	9.500000e+09	2.372000e+09	19.422134	40.321195	40.256671	AFE
7.022042e+08	-1.193170e+11	3.178850e+12	7.016823e+08	1.539414e+09	-6.723539e+08	-9.067763e+09	1.198989e+12	-3.924652e+08	4.297502e+08	9.500000e+09	2.372000e+09	23.786821	63.290324	12.922855	AFE
5.804051e+08	-6.408877e+10	1.254005e+12	4.549214e+08	1.561546e+09	-5.234205e+08	-2.326481e+10	5.880404e+11	-1.892976e+08	9.777084e+08	9.500000e+09	2.372000e+09	42.968779	17.810825	39.220396	AFE
5.551454e+08	-6.842178e+10	1.727262e+12	4.966690e+08	1.404642e+09	-5.271829e+08	-2.367175e+10	1.147041e+12	-4.572977e+08	6.427393e+08	9.500000e+09	2.372000e+09	72.297502	14.418545	13.283953	AFE
8.013900e+08	-1.908870e+11	5.378839e+12	9.304600e+08	1.615691e+09	-5.510485e+08	-7.001776e+09	4.327812e+11	-3.532254e+08	6.020731e+08	9.500000e+09	2.372000e+09	61.757056	17.132319	21.110625	AFE
5.982481e+08	-1.259726e+11	3.573716e+12	7.959493e+08	2.879887e+09	-6.124534e+08	-2.603131e+10	1.768953e+12	-2.733992e+08	8.099288e+08	9.500000e+09	2.372000e+09	40.490864	50.662114	8.847022	AFE
5.960540e+08	-6.384023e+10	1.056258e+12	4.860440e+08	3.918308e+09	-5.523088e+08	-2.234503e+10	1.574101e+12	-3.118079e+08	8.679571e+08	9.500000e+09	2.372000e+09	6.545384	64.776549	28.678067	AFE
7.279055e+08	-1.042300e+11	2.805931e+12	5.948241e+08	1.770270e+09	-8.318967e+08	-2.890109e+10	3.703382e+12	-4.306666e+08	8.619666e+08	9.500000e+09	2.372000e+09	49.781915	15.631231	34.586854	AFE
7.840723e+08	-1.525561e+11	4.049296e+12	8.177582e+08	2.127836e+09	-3.682063e+08	-1.266719e+10	9.400136e+10	-2.333412e+08	4.114917e+08	9.500000e+09	2.372000e+09	23.786821	63.290324	12.922855	AFE
6.787544e+08	-1.000126e+11	2.286697e+12	5.670717e+08	2.426254e+09	-8.692786e+08	-1.689991e+10	3.605705e+12	-3.848352e+08	5.680964e+08	9.500000e+09	2.372000e+09	12.846607	73.340222	13.813171	AFE
7.541984e+08	-1.250729e+11	3.208696e+12	6.703580e+08	3.353007e+09	-4.064261e+08	-1.260643e+10	2.886129e+11	-1.236522e+08	2.882402e+08	9.500000e+09	2.372000e+09	49.781915	15.631231	34.586854	AFE
6.475003e+08	-1.115851e+11	2.624958e+12	8.297706e+08	3.395926e+09	-9.939978e+08	-2.721648e+10	7.883507e+12	-4.715013e+08	2.017493e+08	9.500000e+09	2.372000e+09	52.405897	27.105459	20.488644	AFE
