7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	100	0	0	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	90	10	0	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	80	20	0	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	70	30	0	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	60	40	0	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	10	50	40	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	20	50	30	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	10	80	10	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	5	90	5	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	10	10	80	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	10	20	70	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	20	20	60	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	15	15	70	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	5	5	90	AFE	
7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	2.788828e+09	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	1.086556e+08	9.5e+09	 2.372e+09	15	60	25	AFE	
