-3.0		-32.0
-2.942396	-31.261867
-2.886718	-30.557012
-2.807081	-29.471978
-2.732720	-28.378854
-2.665688	-27.287978
-2.604664	-26.169187
-2.544508	-24.956474
-2.481435	-23.747171
-2.423884	-22.603862
-2.370408	-21.368731
-2.309078	-20.098203
-2.251151	-18.870673
-2.200425	-17.707184
-2.152357	-16.680204
-2.101715	-15.658650
-2.046932	-14.546984
-1.989009	-13.425226
-1.931713	-12.344023
-1.875898	-11.294458
-1.818245	-10.311219
-1.751338	-9.320176
-1.679694	-8.303834
-1.612331	-7.397434
-1.545692	-6.617621
-1.476876	-5.903363
-1.404423	-5.166310
-1.319210	-4.397316
-1.223150	-3.588931
-1.129139	-2.759673
-1.041680	-1.968929
-0.966157	-1.199442
-0.898913	-0.393872
-0.837092	0.424866
-0.779193	1.264573
-0.725113	2.127732
-0.667440	3.047791
-0.606126	4.062528
-0.541383	5.168875
-0.476938	6.329545
-0.412648	7.596714
-0.343677	8.853560
-0.273316	10.008672
-0.205592	11.182844
-0.134271	12.445649
-0.053716	13.679769
0.024775	14.761927
0.097522	15.664094
0.170064	16.532962
0.241424	17.446069
0.315251	18.311327
0.398328	19.135695
0.488290	20.058428
0.579601	20.956237
0.674383	21.852922
0.771535	22.707184
0.868736	23.434910
0.967117	24.175435
1.072041	24.997643
1.177770	25.784806
1.289183	26.499194
1.422535	27.209334
1.561565	27.878560
1.691495	28.475294
1.829546	29.074286
1.955651	29.659023
2.066126	30.248939
2.190087	30.902436
2.321512	31.485014
2.443713	31.916120
2.554943	32.300270
2.663181	32.631321
2.780267	32.808770
2.878067	32.699132
2.918818	32.219863
2.902588	31.451111
2.851936	30.585122
2.793530	29.691320
2.740100	28.816701
2.686664	27.910184
2.633544	26.936131
2.584393	25.877853
2.529926	24.726129
2.474987	23.499693
2.373415	21.299998
2.327598	20.228785
2.277408	19.083268
2.219516	17.809315
2.157324	16.542752
2.097148	15.397633
2.043662	14.327204
1.986785	13.286245
1.925730	12.305103
1.859077	11.401949
1.778298	10.309067
1.692492	9.118998
1.609374	8.120992
1.523436	7.280325
1.430184	6.433255
1.326812	5.581799
1.230854	4.830216
1.145857	4.009159
1.057165	2.978534
0.980848	1.866478
0.920351	0.876493
0.861543	-0.025276
0.801344	-0.910328
0.735326	-1.995660
0.664698	-3.183253
0.599891	-4.387156
0.534652	-5.573358
0.467782	-6.731323
0.404180	-7.794691
0.339936	-8.868567
0.277853	-9.871982
0.222074	-10.753454
0.166896	-11.619302
0.105998	-12.557726
0.038258	-13.545573
-0.029303	-14.530001
-0.091287	-15.453139
-0.148577	-16.217703
-0.211767	-16.944442
-0.282438	-17.668469
-0.354585	-18.360630
-0.436983	-19.119668
-0.530709	-19.953987
-0.626864	-20.800252
-0.719449	-21.596201
-0.810029	-22.293955
-0.888160	-22.859739
-0.966017	-23.465993
-1.059867	-24.117904
-1.152688	-24.752709
-1.241926	-25.345886
-1.350578	-25.943977
-1.464065	-26.532932
-1.562294	-26.994995
-1.657682	-27.474883
-1.755769	-28.068583
-1.861284	-28.670536
-1.967598	-29.234432
-2.069947	-29.681474
-2.162178	-30.058442
-2.256185	-30.504787
-2.360782	-30.936646
-2.464102	-31.298460
-2.559892	-31.594408
-2.659760	-31.862937
-2.753084	-32.106335
-2.838338	-32.297888
-2.934151	-32.221813
-3.0		-32.0
