-2.927480	-32.550388
-2.892759	-31.907562
-2.832199	-31.415477
-2.728319	-30.579441
-2.606352	-29.580620
-2.486699	-28.530265
-2.377870	-27.473755
-2.280186	-26.429521
-2.191948	-25.377167
-2.111145	-24.245636
-2.036629	-22.986159
-1.968949	-21.630014
-1.907539	-20.230284
-1.848995	-18.814825
-1.790089	-17.394230
-1.730168	-15.942840
-1.670179	-14.416618
-1.611514	-12.820358
-1.555815	-11.210325
-1.504846	-9.646026
-1.459793	-8.165465
-1.419589	-6.780630
-1.381025	-5.474219
-1.341382	-4.208794
-1.299602	-2.942336
-1.255548	-1.624497
-1.209515	-0.210364
-1.161581	1.286754
-1.111631	2.793338
-1.060407	4.248072
-1.008885	5.639140
-0.957031	6.976920
-0.904221	8.251628
-0.850227	9.424169
-0.796209	10.467549
-0.744467	11.388651
-0.696006	12.213853
-0.648998	12.992309
-0.600214	13.786583
-0.547322	14.618951
-0.490266	15.450746
-0.430842	16.244561
-0.369334	17.016882
-0.302483	17.808457
-0.226824	18.638280
-0.141844	19.492786
-0.049305	20.326032
0.047457	21.076573
0.144488	21.710420
0.239868	22.249146
0.334675	22.747535
0.431300	23.240165
0.531630	23.723616
0.636246	24.193523
0.745312	24.665192
0.859861	25.145716
0.979617	25.623428
1.101098	26.096832
1.220589	26.575861
1.336261	27.055789
1.447491	27.520131
1.555092	27.948482
1.659672	28.313548
1.758994	28.609340
1.850755	28.877365
1.937140	29.163394
2.024168	29.461032
2.117061	29.745736
2.217048	30.042262
2.322472	30.390522
2.429879	30.772143
2.534217	31.139238
2.632285	31.468064
2.722210	31.707962
2.794190	31.731818
2.828049	31.422796
2.810028	30.787402
2.749621	29.949894
2.669979	29.053543
2.586245	28.158771
2.502003	27.230115
2.418252	26.229569
2.337436	25.172995
2.263084	24.082216
2.197857	22.964229
2.141164	21.839626
2.090780	20.722888
2.045479	19.589433
2.003383	18.400545
1.961495	17.156022
1.918768	15.911974
1.876799	14.722829
1.837734	13.584107
1.802283	12.464678
1.769958	11.363914
1.740740	10.319173
1.714175	9.344135
1.687774	8.358319
1.659198	7.254297
1.629272	6.060593
1.600198	4.926787
1.572175	3.931904
1.543960	3.028532
1.514576	2.148169
1.482608	1.245511
1.445939	0.270047
1.403335	-0.836853
1.354677	-2.113931
1.300818	-3.532839
1.244593	-4.984900
1.188942	-6.363217
1.134619	-7.638265
1.081858	-8.821596
1.031310	-9.901093
0.982647	-10.848326
0.935154	-11.673211
0.889674	-12.442348
0.847647	-13.221055
0.808785	-13.999045
0.771106	-14.702479
0.732450	-15.277862
0.691786	-15.742395
0.649502	-16.170589
0.605365	-16.644607
0.557411	-17.192090
0.505064	-17.763278
0.451378	-18.287660
0.400454	-18.741183
0.353030	-19.147956
0.303918	-19.554231
0.245204	-20.002671
0.172824	-20.501180
0.086955	-21.034640
-0.011454	-21.603894
-0.119094	-22.210418
-0.227975	-22.815170
-0.330021	-23.356673
-0.423083	-23.806328
-0.510813	-24.191519
-0.598485	-24.563121
-0.688981	-24.944733
-0.781905	-25.331501
-0.876178	-25.719780
-0.971797	-26.103971
-1.069697	-26.478640
-1.171058	-26.858284
-1.274640	-27.260284
-1.375455	-27.676227
-1.468956	-28.069489
-1.556020	-28.406802
-1.642944	-28.703934
-1.736460	-29.019700
-1.838545	-29.397513
-1.946311	-29.831361
-2.056178	-30.281050
-2.167362	-30.693988
-2.282461	-31.034885
-2.405639	-31.329159
-2.538106	-31.635539
-2.672428	-31.960085
-2.792460	-32.248934
-2.881100	-32.451352
-2.927480	-32.550388
