-3.000000e+00,-3.200000e+01
-2.942396e+00,-3.126187e+01
-2.886718e+00,-3.055701e+01
-2.807081e+00,-2.947198e+01
-2.732720e+00,-2.837885e+01
-2.665688e+00,-2.728798e+01
-2.604664e+00,-2.616919e+01
-2.544508e+00,-2.495647e+01
-2.481435e+00,-2.374717e+01
-2.423884e+00,-2.260386e+01
-2.370408e+00,-2.136873e+01
-2.309078e+00,-2.009820e+01
-2.251151e+00,-1.887067e+01
-2.200425e+00,-1.770718e+01
-2.152357e+00,-1.668020e+01
-2.101715e+00,-1.565865e+01
-2.046932e+00,-1.454698e+01
-1.989009e+00,-1.342523e+01
-1.931713e+00,-1.234402e+01
-1.875898e+00,-1.129446e+01
-1.818245e+00,-1.031122e+01
-1.751338e+00,-9.320176e+00
-1.679694e+00,-8.303834e+00
-1.612331e+00,-7.397434e+00
-1.545692e+00,-6.617621e+00
-1.476876e+00,-5.903363e+00
-1.404423e+00,-5.166310e+00
-1.319210e+00,-4.397316e+00
-1.223150e+00,-3.588931e+00
-1.129139e+00,-2.759673e+00
-1.041680e+00,-1.968929e+00
-9.661570e-01,-1.199442e+00
-8.989130e-01,-3.938720e-01
-8.370920e-01,4.248660e-01
-7.791930e-01,1.264573e+00
-7.251130e-01,2.127732e+00
-6.674400e-01,3.047791e+00
-6.061260e-01,4.062528e+00
-5.413830e-01,5.168875e+00
-4.769380e-01,6.329545e+00
-4.126480e-01,7.596714e+00
-3.436770e-01,8.853560e+00
-2.733160e-01,1.000867e+01
-2.055920e-01,1.118284e+01
-1.342710e-01,1.244565e+01
-5.371600e-02,1.367977e+01
2.477500e-02,1.476193e+01
9.752200e-02,1.566409e+01
1.700640e-01,1.653296e+01
2.414240e-01,1.744607e+01
3.152510e-01,1.831133e+01
3.983280e-01,1.913569e+01
4.882900e-01,2.005843e+01
5.796010e-01,2.095624e+01
6.743830e-01,2.185292e+01
7.715350e-01,2.270718e+01
8.687360e-01,2.343491e+01
9.671170e-01,2.417544e+01
1.072041e+00,2.499764e+01
1.177770e+00,2.578481e+01
1.289183e+00,2.649919e+01
1.422535e+00,2.720933e+01
1.561565e+00,2.787856e+01
1.691495e+00,2.847529e+01
1.829546e+00,2.907429e+01
1.955651e+00,2.965902e+01
2.066126e+00,3.024894e+01
2.190087e+00,3.090244e+01
2.321512e+00,3.148501e+01
2.443713e+00,3.191612e+01
2.554943e+00,3.230027e+01
2.663181e+00,3.263132e+01
2.780267e+00,3.280877e+01
2.878067e+00,3.269913e+01
2.918818e+00,3.221986e+01
2.902588e+00,3.145111e+01
2.851936e+00,3.058512e+01
2.793530e+00,2.969132e+01
2.740100e+00,2.881670e+01
2.686664e+00,2.791018e+01
2.633544e+00,2.693613e+01
2.584393e+00,2.587785e+01
2.529926e+00,2.472613e+01
2.474987e+00,2.349969e+01
2.373415e+00,2.130000e+01
2.327598e+00,2.022878e+01
2.277408e+00,1.908327e+01
2.219516e+00,1.780932e+01
2.157324e+00,1.654275e+01
2.097148e+00,1.539763e+01
2.043662e+00,1.432720e+01
1.986785e+00,1.328624e+01
1.925730e+00,1.230510e+01
1.859077e+00,1.140195e+01
1.778298e+00,1.030907e+01
1.692492e+00,9.118998e+00
1.609374e+00,8.120992e+00
1.523436e+00,7.280325e+00
1.430184e+00,6.433255e+00
1.326812e+00,5.581799e+00
1.230854e+00,4.830216e+00
1.145857e+00,4.009159e+00
1.057165e+00,2.978534e+00
9.808480e-01,1.866478e+00
9.203510e-01,8.764930e-01
8.615430e-01,-2.527600e-02
8.013440e-01,-9.103280e-01
7.353260e-01,-1.995660e+00
6.646980e-01,-3.183253e+00
5.998910e-01,-4.387156e+00
5.346520e-01,-5.573358e+00
4.677820e-01,-6.731323e+00
4.041800e-01,-7.794691e+00
3.399360e-01,-8.868567e+00
2.778530e-01,-9.871982e+00
2.220740e-01,-1.075345e+01
1.668960e-01,-1.161930e+01
1.059980e-01,-1.255773e+01
3.825800e-02,-1.354557e+01
-2.930300e-02,-1.453000e+01
-9.128700e-02,-1.545314e+01
-1.485770e-01,-1.621770e+01
-2.117670e-01,-1.694444e+01
-2.824380e-01,-1.766847e+01
-3.545850e-01,-1.836063e+01
-4.369830e-01,-1.911967e+01
-5.307090e-01,-1.995399e+01
-6.268640e-01,-2.080025e+01
-7.194490e-01,-2.159620e+01
-8.100290e-01,-2.229396e+01
-8.881600e-01,-2.285974e+01
-9.660170e-01,-2.346599e+01
-1.059867e+00,-2.411790e+01
-1.152688e+00,-2.475271e+01
-1.241926e+00,-2.534589e+01
-1.350578e+00,-2.594398e+01
-1.464065e+00,-2.653293e+01
-1.562294e+00,-2.699499e+01
-1.657682e+00,-2.747488e+01
-1.755769e+00,-2.806858e+01
-1.861284e+00,-2.867054e+01
-1.967598e+00,-2.923443e+01
-2.069947e+00,-2.968147e+01
-2.162178e+00,-3.005844e+01
-2.256185e+00,-3.050479e+01
-2.360782e+00,-3.093665e+01
-2.464102e+00,-3.129846e+01
-2.559892e+00,-3.159441e+01
-2.659760e+00,-3.186294e+01
-2.753084e+00,-3.210634e+01
-2.838338e+00,-3.229789e+01
-2.934151e+00,-3.222181e+01
-3.000000e+00,-3.200000e+01
