-7.41E-04	-24.48037
1.40746		33.58446
1.39389		33.53624
1.37866		33.44595
1.36341		33.38726
1.35015		33.31524
1.3352		33.25008
1.31991		33.17978
1.30511		33.11118
1.28761		33.03822
1.27548		32.96411
1.25975		32.89799
1.24565		32.82845
1.22801		32.74426
1.2135		32.70575
1.2002		32.55531
1.18072		32.57105
1.17147		32.41185
1.15307		32.39942
1.13985		32.29695
1.12372		32.24397
1.10868		32.1691
1.0941		32.08319
1.07938		32.01898
1.06588		31.94658
1.04934		31.86524
1.03391		31.7995
1.01841		31.73472
1.00449		31.60998
0.98793		31.56881
0.97436		31.50422
0.96032		31.39356
0.94419		31.33106
0.93026		31.25353
0.9154		31.16724
0.89885		31.0838
0.88427		31.00798
0.86946		30.93863
0.85395		30.84435
0.83683		30.77405
0.82413		30.687
0.80917		30.60794
0.79378		30.52089
0.7789		30.44717
0.76376		30.36012
0.74932		30.27364
0.73263		30.19058
0.71877		30.10049
0.70337		30.01058
0.6886		29.94104
0.67194		29.82811
0.65936		29.77436
0.64516		29.64581
0.62879		29.59188
0.61409		29.47571
0.59955		29.40788
0.58433		29.30427
0.56939		29.2176
0.55378		29.13284
0.5392		29.03684
0.5237		28.94255
0.50772		28.84789
0.49472		28.75875
0.48096		28.65894
0.46478		28.55989
0.44976		28.46637
0.43386		28.36466
0.41797		28.2681
0.40498		28.16315
0.3885		28.07572
0.37544		27.96887
0.36033		27.87954
0.34483		27.76793
0.33064		27.61674
0.31326		27.59117
0.29905		27.44892
0.28259		27.38718
0.26987		27.2398
0.2552		27.15237
0.23847		27.05275
0.22527		26.90841
0.21031		26.82402
0.19719		26.7088
0.17883		26.60766
0.16541		26.48368
0.14935		26.39911
0.13543		26.25971
0.12064		26.14449
0.10437		26.05363
0.09265		25.90186
0.07493		25.80187
0.06194		25.66285
0.04488		25.55886
0.03152		25.41813
0.01602		25.30538
0.00149		25.17779
-0.01447	25.05591
-0.02904	24.92469
-0.04327	24.78511
-0.06016	24.66494
-0.0711		24.51811
-0.08752	24.39718
-0.10311	24.24807
-0.11924	24.10754
-0.13418	23.98261
-0.14834	23.80191
-0.16206	23.67298
-0.17679	23.51646
-0.19202	23.35765
-0.208		23.20017
-0.22307	23.02937
-0.23694	22.87018
-0.25273	22.67787
-0.26739	22.51773
-0.28125	22.31838
-0.29729	22.13558
-0.30964	21.9467
-0.32598	21.73669
-0.34032	21.536
-0.35438	21.32542
-0.37001	21.09675
-0.38443	20.87627
-0.39938	20.63105
-0.4155		20.3902
-0.42855	20.13984
-0.44385	19.88262
-0.45881	19.60789
-0.47356	19.32879
-0.48647	19.02856
-0.49996	18.71957
-0.51598	18.38165
-0.53175	18.0483
-0.54535	17.69458
-0.55976	17.28205
-0.57518	16.90929
-0.58637	16.41796
-0.60429	15.98792
-0.61668	15.43282
-0.63054	14.88324
-0.64514	14.27238
-0.65356	13.56177
-0.67045	12.84831
-0.68108	11.95821
-0.69614	11.08277
-0.70587	10.01737
-0.71952	8.95769
-0.73023	7.71546
-0.744		6.40548
-0.75759	5.03877
-0.77		3.5611
-0.78269	1.99549
-0.79598	0.39695
-0.80847	-1.27049
-0.82095	-2.97677
-0.83513	-4.71578
-0.85148	-6.45098
-0.86688	-8.19113
-0.88232	-9.91415
-0.89836	-11.57893
-0.91446	-13.21973
-0.93175	-14.78286
-0.94843	-16.27195
-0.96678	-17.69995
-0.98578	-19.02306
-1.00313	-20.24339
-1.02026	-21.40415
-1.03854	-22.44727
-1.05615	-23.41978
-1.07373	-24.29065
-1.09084	-25.05835
-1.1074		-25.76438
-1.12551	-26.36802
-1.14279	-26.9115
-1.16098	-27.3838
-1.17463	-27.78891
-1.19298	-28.14719
-1.20868	-28.46246
-1.22354	-28.7507
-1.2419		-28.98736
-1.25562	-29.22592
-1.27236	-29.42736
-1.2865		-29.60673
-1.29998	-29.79143
-1.31771	-29.95347
-1.33272	-30.10924
-1.34884	-30.26766
-1.36509	-30.4042
-1.37777	-30.54398
-1.39294	-30.67024
-1.40984	-30.80621
-1.42442	-30.90411
-1.43924	-31.03532
-1.45427	-31.2027
-1.47036	-31.25644
-1.485		-31.4004
-1.50069	-31.49545
-1.51511	-31.60648
-1.53055	-31.70153
-1.54523	-31.8118
-1.5593		-31.9137
-1.57366	-32.00494
-1.58849	-32.10018
-1.60583	-32.2154
-1.61939	-32.3192
-1.63646	-32.34629
-1.64703	-32.54945
-1.6656		-32.54095
-1.67835	-32.69405
-1.69678	-32.75979
-1.70978	-32.85559
-1.72516	-32.94817
-1.74063	-33.02836
-1.7544		-33.12132
-1.77144	-33.20399
-1.78474	-33.29485
-1.80107	-33.37353
-1.81383	-33.45791
-1.83044	-33.52688
-1.84365	-33.63526
-1.85887	-33.70194
-1.87597	-33.77986
-1.8903		-33.87662
-1.90829	-33.94673
-1.92128	-34.03511
-1.93464	-34.10465
-1.95037	-34.20579
-1.96547	-34.25687
-1.9792		-34.37513
-1.99551	-34.40109
-2.00951	-34.54086
-2.02518	-34.55768
-2.03897	-34.6887
-2.05584	-34.73197
-2.06989	-34.83501
-2.08578	-34.89941
-2.10007	-34.98989
-2.11584	-35.06875
-2.1307		-35.144
-2.14659	-35.224
-2.15869	-35.30573
-2.1751		-35.37279
-2.1915		-35.45394
-2.20529	-35.529
-2.21992	-35.60139
-2.23712	-35.68654
-2.25183	-35.75874
-2.26626	-35.84351
-2.28046	-35.91096
-2.29675	-35.98925
-2.31128	-36.05232
-2.32418	-36.19076
-2.34391	-36.17941
-2.35246	-36.34831
-2.37234	-36.36836
-2.38489	-36.46531
-2.40115	-36.54646
-2.41588	-36.60611
-2.42991	-36.71733
-2.44596	-36.76878
-2.46087	-36.85964
-2.4759		-36.94003
-2.49035	-37.01281
-2.50665	-37.08882
-2.51973	-37.18881
-2.53653	-37.20543
-2.55158	-37.32902
-2.56588	-37.39932
-2.58041	-37.47248
-2.59534	-37.55325
-2.6102		-37.63592
-2.62618	-37.72202
-2.64147	-37.78185
-2.65671	-37.87156
-2.66933	-37.94872
-2.68451	-38.03481
-2.69997	-38.09769
-2.71549	-38.18531
-2.73072	-38.26532
-2.74537	-38.3341
-2.75938	-38.42439
-2.7725		-38.5044
-2.78877	-38.57965
-2.80444	-38.66461
-2.81892	-38.74633
-2.83445	-38.83376
-2.84903	-38.91244
-2.86422	-39.00311
-2.87757	-39.09359
-2.89425	-39.17322
-2.90886	-39.24923
-2.92437	-39.34466
-2.93766	-39.43285
-2.95542	-39.52504
-2.96818	-39.61324
-2.98342	-39.70943
-2.99197	-39.7645
-2.98301	-39.7442
-2.9673		-39.71895
-2.95187	-39.67904
-2.938		-39.65075
-2.92163	-39.61827
-2.90705	-39.57722
-2.8907		-39.54189
-2.87779	-39.50598
-2.8638		-39.46569
-2.84668	-39.41817
-2.83078	-39.37199
-2.81571	-39.33018
-2.80081	-39.30626
-2.78931	-39.16928
-2.77084	-39.23216
-2.75823	-39.13135
-2.74155	-39.0943
-2.7277		-39.04602
-2.71202	-38.99602
-2.69765	-38.94089
-2.68277	-38.89965
-2.66647	-38.83767
-2.65252	-38.79034
-2.63838	-38.73635
-2.62193	-38.65019
-2.60545	-38.68528
-2.5922		-38.52203
-2.57657	-38.54798
-2.56335	-38.44907
-2.5464		-38.40269
-2.5328		-38.35327
-2.51748	-38.29585
-2.50239	-38.25405
-2.48697	-38.17512
-2.47278	-38.13046
-2.45923	-38.06961
-2.44478	-38.00573
-2.42731	-37.95116
-2.41112	-37.88785
-2.39694	-37.83957
-2.38291	-37.76541
-2.36786	-37.71922
-2.35227	-37.65686
-2.33848	-37.59773
-2.32375	-37.53346
-2.30816	-37.47909
-2.29451	-37.4192
-2.2782		-37.35169
-2.26291	-37.31103
-2.2492		-37.22563
-2.233		-37.18268
-2.21779	-37.10699
-2.2034		-37.0528
-2.18752	-36.99958
-2.1722		-36.92465
-2.1564		-36.87903
-2.14283	-36.81933
-2.1268		-36.74878
-2.11054	-36.69384
-2.0998		-36.63052
-2.08181	-36.56378
-2.06852	-36.51816
-2.05155	-36.4263
-2.03654	-36.38183
-2.02193	-36.3168
-2.00708	-36.25481
-1.99184	-36.19454
-1.97632	-36.12989
-1.9624		-36.06772
-1.94772	-36.00592
-1.9327		-35.9447
-1.91834	-35.86539
-1.90268	-35.81464
-1.88892	-35.7576
-1.87162	-35.69333
-1.85532	-35.62717
-1.84272	-35.56975
-1.8259		-35.50244
-1.81234	-35.43703
-1.79638	-35.37695
-1.7821		-35.30602
-1.768		-35.2467
-1.75328	-35.17634
-1.7394		-35.11645
-1.72345	-35.03714
-1.70725	-35.00732
-1.69275	-34.92631
-1.67878	-34.84453
-1.66308	-34.79054
-1.64684	-34.72132
-1.63261	-34.65001
-1.61736	-34.58213
-1.60341	-34.51976
-1.58749	-34.45131
-1.5734		-34.37067
-1.55939	-34.31401
-1.54242	-34.24308
-1.52818	-34.17958
-1.51378	-34.1096
-1.49724	-34.03524
-1.48236	-33.96812
-1.46865	-33.90385
-1.45163	-33.82397
-1.43742	-33.76313
-1.42269	-33.69563
-1.40702	-33.61633
-1.39134	-33.55777
-1.37736	-33.47181
-1.36108	-33.43115
-1.34807	-33.31834
-1.33062	-33.29367
-1.3165		-33.17078
-1.3014		-33.1558
-1.2886		-33.04186
-1.27267	-33.00538
-1.25687	-32.91027
-1.24052	-32.84372
-1.22769	-32.77679
-1.21296	-32.69977
-1.19665	-32.63055
-1.18199	-32.56057
-1.16703	-32.47746
-1.1513		-32.40653
-1.13612	-32.33084
-1.12299	-32.25611
-1.10811	-32.17299
-1.09296	-32.10054
-1.07701	-32.01077
-1.0619		-31.95411
-1.04674	-31.85977
-1.03278	-31.84042
-1.02081	-31.68365
-1.00386	-31.62414
-0.98996	-31.5494
-0.97444	-31.46286
-0.9582		-31.39517
-0.9442		-31.29588
-0.92845	-31.2417
-0.91412	-31.17058
-0.89902	-31.04654
-0.88086	-31.01673
-0.86875	-30.9182
-0.85148	-30.82633
-0.83795	-30.74493
-0.82244	-30.68771
-0.80828	-30.54064
-0.79051	-30.50778
-0.77626	-30.39155
-0.76267	-30.32481
-0.74914	-30.21181
-0.73288	-30.15592
-0.71834	-30.04921
-0.70139	-29.96153
-0.68695	-29.88717
-0.67206	-29.78769
-0.65836	-29.70382
-0.64346	-29.60414
-0.62665	-29.52351
-0.61439	-29.42041
-0.59706	-29.33387
-0.58392	-29.24923
-0.5676		-29.14366
-0.55068	-29.06893
-0.53769	-28.96602
-0.52254	-28.87606
-0.50854	-28.78076
-0.49099	-28.69555
-0.47792	-28.58865
-0.4632		-28.49697
-0.44822	-28.39064
-0.43371	-28.30696
-0.41936	-28.19586
-0.4041		-28.1038
-0.388		-28.00927
-0.37472	-27.90218
-0.35776	-27.80441
-0.3436		-27.70379
-0.32838	-27.60564
-0.31277	-27.49436
-0.29847	-27.40154
-0.28331	-27.29235
-0.26865	-27.19192
-0.25369	-27.0873
-0.23833	-26.98306
-0.22249	-26.87387
-0.20866	-26.77306
-0.19283	-26.67662
-0.17804	-26.55982
-0.16329	-26.45882
-0.14827	-26.37704
-0.13526	-26.21855
-0.11923	-26.1619
-0.10469	-26.01464
-0.08967	-25.93838
-0.0745		-25.82367
-0.05715	-25.71429
-0.04307	-25.61481
-0.03068	-25.50638
-0.01389	-25.4168
-0.00455	-25.31485
5.12E-07	-25.32195
-9.55E-04	-25.25731
0.00253		-25.29392
-4.66E-04	-25.19082
