7.024165e+08	-8.860339e+10	1.906289e+12	4.604676e+08	6.840611e+08	-9.347159e+08	-2.566318e+10	3.821315e+12	-3.968282e+08	7.413545e+08	8.528650e+09	7.989319e+09
6.675540e+08	-8.482339e+10	1.781843e+12	8.226111e+08	1.780471e+09	-6.681262e+08	-2.260026e+10	9.515525e+11	-4.685412e+08	1.809606e+09    3.950322e+09	6.580462e+09
7.506281e+08	-1.407779e+11	3.413419e+12	7.468221e+08	3.544054e+09	-6.544322e+08	-2.969425e+10	9.242940e+11	-1.825685e+08	1.480697e+09    1.615113e+09	6.071583e+09
5.659547e+08	-1.056478e+11	2.680157e+12	7.067229e+08	2.048410e+09	-5.666945e+08	-1.797353e+10	1.101838e+12	-4.417011e+08	4.308336e+09    1.464140e+09	1.269899e+09
7.042654e+08	-1.321983e+11	3.124164e+12	7.372591e+08	4.924912e+09	-7.281934e+08	-2.116155e+10	1.111210e+12	-4.170291e+08	2.168161e+09    1.133700e+09	7.066737e+09
5.511640e+08	-5.399659e+10	9.892681e+11	5.722053e+08	2.463110e+09	-8.782882e+08	-2.236431e+10	5.230603e+12	-3.999720e+08	4.532211e+09    7.362265e+09	7.740754e+09
6.967290e+08	-1.067976e+11	2.533076e+12	7.838684e+08	4.803221e+09	-1.010559e+09	-1.193339e+10	8.004757e+12	-4.982166e+08	2.263568e+09    8.976624e+09	9.708482e+09
5.461473e+08	-2.863068e+10	3.119897e+11	3.348083e+08	4.273735e+09	-7.144624e+08	-2.219135e+10	2.480652e+12	-3.355329e+08	1.976651e+09    1.867360e+09	3.748505e+09
6.325782e+08	-9.311910e+10	1.862353e+12	6.985860e+08	1.010986e+09	-3.609692e+08	-1.727412e+10	6.838592e+11	-3.086236e+08	3.846919e+09    9.519121e+09	3.719351e+09
5.639726e+08	-1.020250e+11	2.467021e+12	6.452105e+08	3.626601e+09	-5.638401e+08	-2.886687e+10	1.379162e+12	-2.014430e+08	3.894111e+09    8.041032e+09	1.798643e+09
5.022532e+08	-9.065448e+10	2.189509e+12	5.453480e+08	3.455602e+09	-3.611981e+08	-2.898238e+10	6.986528e+11	-9.530987e+07	1.502160e+09    3.136414e+09	8.493337e+08
7.162976e+08	-1.042366e+11	2.462437e+12	7.148066e+08	4.523185e+09	-9.115481e+08	-1.298512e+09	3.752403e+12	-4.403865e+08	2.840533e+09    9.170517e+09	7.051112e+09
6.978400e+08	-1.065181e+11	2.428711e+12	7.806685e+08	3.865066e+09	-3.525903e+08	-5.335370e+09	7.022567e+10	-3.640128e+08	1.961400e+09    2.580098e+09	4.989306e+09
7.514083e+08	-1.133625e+11	2.644075e+12	5.377501e+08	1.324114e+09	-3.610215e+08	-2.804884e+10	3.907710e+11	-7.365876e+07	1.626096e+09    7.879782e+09	7.902828e+09
6.656205e+08	-7.294267e+10	1.284022e+12	5.657016e+08	3.335839e+09	-8.603114e+08	-9.479870e+08	1.774773e+12	-3.950996e+08	7.195907e+08    4.620945e+09	5.898644e+09
5.990658e+08	-9.004623e+10	1.968323e+12	6.511521e+08	2.378743e+09	-8.753515e+08	-4.973046e+09	1.459578e+12	-4.081768e+08	2.486708e+09    9.930155e+08	1.969494e+09
6.787374e+08	-1.108336e+11	2.428613e+12	6.232412e+08	3.281290e+09	-7.888089e+08	-2.490242e+10	3.172536e+12	-4.206193e+08	1.940894e+09    8.787567e+09	9.254797e+09
6.427727e+08	-7.171800e+10	1.281578e+12	5.231808e+08	2.392721e+09	-1.092175e+09	-1.974481e+10	1.032739e+13	-4.947866e+08	3.211556e+09    4.340069e+09	5.079703e+09
5.999734e+08	-6.374841e+10	1.123030e+12	5.057704e+08	6.786440e+08	-3.795421e+08	-4.264798e+09	2.472285e+11	-3.022384e+08	3.049290e+09    4.597485e+09	8.287197e+09
6.614480e+08	-9.988868e+10	2.372898e+12	7.889220e+08	1.609740e+09	-2.015729e+08	-1.603360e+10	2.231673e+11	-5.551891e+07	2.347798e+09    4.708008e+09	6.510212e+09
6.124292e+08	-1.092509e+11	2.607754e+12	8.112247e+08	1.143746e+09	-6.433251e+08	-1.429187e+10	1.815068e+12	-4.329774e+08	4.067078e+09    2.072392e+09	1.196491e+09
6.842388e+08	-1.060920e+11	2.526730e+12	7.931915e+08	3.058052e+09	-7.996408e+08	-1.064682e+10	8.707950e+11	-4.952517e+08	1.323725e+09    1.874574e+09	5.109742e+09
6.606515e+08	-6.697887e+10	1.373390e+12	5.972347e+08	4.878055e+09	-4.343698e+08	-2.355607e+10	4.848643e+11	-3.501228e+08	2.472505e+09    5.084647e+09	1.976619e+09
7.477308e+08	-1.036799e+11	2.284583e+12	7.597837e+08	9.722568e+08	-1.338227e+08	-1.726973e+10	1.204562e+11	-7.911018e+07	2.999696e+09    8.601608e+09	4.997222e+09
6.169680e+08	-5.972558e+10	1.334813e+12	4.683413e+08	6.984148e+08	-5.769006e+08	-2.459336e+10	1.141611e+12	-1.753131e+08	1.509328e+09    8.801656e+09	5.942774e+09
5.022104e+08	-1.035328e+11	2.605912e+12	6.511913e+08	4.738268e+09	-9.382027e+08	-2.316845e+10	6.173687e+12	-4.010304e+08	3.661146e+09    4.760104e+09	7.858927e+09
6.572913e+08	-1.289498e+11	3.093483e+12	8.178683e+08	4.070146e+09	-4.391426e+08	-1.715798e+10	5.378459e+11	-2.365560e+08	4.589751e+09    5.915365e+09	4.275456e+09
7.580624e+08	-1.348372e+11	3.280622e+12	6.580795e+08	4.268488e+09	-6.490056e+08	-2.866009e+10	3.722233e+12	-4.746342e+08	2.033511e+09    9.209955e+08	6.418069e+09
5.708075e+08	-7.109972e+10	1.391807e+12	7.390361e+08	2.379335e+09	-5.144428e+08	-2.149162e+10	1.278461e+12	-3.821903e+08	7.492931e+08    8.266169e+09	3.526790e+09
5.190532e+08	-6.414241e+10	1.043333e+12	6.732237e+08	3.262978e+09	-3.553870e+08	-1.392888e+10	1.025488e+11	-1.509026e+08	1.412697e+09    7.103759e+09	3.956934e+09
7.243829e+08	-1.007260e+11	2.238806e+12	6.086592e+08	4.928423e+09	-4.181577e+08	-1.612106e+10	7.808137e+11	-4.075776e+08	1.588380e+09    7.894920e+09	2.116055e+09
5.799703e+08	-4.806565e+10	8.863459e+11	3.940586e+08	3.080170e+09	-7.856548e+08	-1.811820e+10	3.140439e+12	-3.803553e+08	1.233086e+09    7.902855e+09	2.497839e+09
7.690292e+08	-1.161726e+11	2.711173e+12	5.491401e+08	4.399778e+09	-9.936085e+08	-2.974146e+10	4.880564e+12	-4.486434e+08	1.005421e+09    2.899623e+09	8.039240e+09
6.138126e+08	-8.662753e+10	1.842496e+12	8.115472e+08	3.273562e+09	-7.762822e+08	-2.116623e+10	1.624094e+12	-4.741161e+08	1.742824e+09    3.667193e+09	7.650039e+09
6.663010e+08	-9.286111e+10	2.243869e+12	7.279744e+08	3.249763e+09	-1.577309e+08	-2.453431e+10	3.650556e+11	-1.082639e+08	5.455091e+08    8.263821e+09	2.354421e+09
5.116270e+08	-5.399419e+10	1.112459e+12	4.968266e+08	2.025085e+09	-1.144513e+09	-2.334873e+10	8.941051e+12	-4.981319e+08	3.136822e+09    6.796965e+09	9.320502e+08
5.311794e+08	-8.053455e+10	2.107968e+12	7.045998e+08	4.185813e+09	-6.174006e+08	-1.670689e+10	8.298067e+11	-4.649036e+08	3.507544e+09    9.305684e+09	1.667254e+09
6.194893e+08	-7.580262e+10	1.504208e+12	5.666582e+08	3.163032e+09	-4.703480e+08	-2.648331e+10	1.140009e+12	-3.316735e+08	2.146026e+09    6.504536e+09	6.033065e+08
5.290582e+08	-5.875088e+10	1.066438e+12	4.012300e+08	4.446262e+09	-3.673054e+08	-2.057804e+10	2.859028e+11	-1.055647e+08	1.692082e+09    7.110226e+08	5.906392e+09
7.316866e+08	-1.058557e+11	2.457709e+12	8.828878e+08	7.891062e+08	-2.359112e+08	-2.575851e+10	6.563575e+11	-2.694944e+08	5.231542e+08    7.889752e+09	5.253619e+09
